id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,latitude,longitude
0,SEM VÍTIMA,FINALIZADA,2016-01-01,00:58:00,IPUTINGA,AV JORNALISTA POSSIDONIO CAVALCANTI BASTOS,,PROX A PONTE DA SALVAÇAO,COLISÃO,COLISAO ENTRE UMA VIATUA E UM CAMINHAO S/V,1,,,,,,1,,,0,-8.030678,-34.9309437
1,SEM VÍTIMA,FINALIZADA,2016-01-01,01:23:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,EM FRENTE AO SUPERMERCADO EXTRANO SEMAFORO 380,COLISÃO,COLISAO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.1111171,-34.8927465
2,SEM VÍTIMA,CANCELADA,2016-01-01,01:42:00,JORDÃO,RUA DR ALVARO FERRAZ,20,PROX A PRAÇA DO JORDAO DE BAIXO,COLISÃO,COLISAO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.131565,-34.9379114
3,SEM VÍTIMA,FINALIZADA,2016-01-01,03:08:00,IBURA,AV JORNALISTA COSTA PORTO,1080,PROX A ASSEMBLEIA DE DEUS SENTIDO ALTO DOIS CARNEIROS,COLISÃO,COLISAO ENTRE DOIS CARROS S/V,2,,,,,,,,,0,-8.1104992,-34.9595738
4,COM VÍTIMA,CANCELADA,2016-01-01,05:34:00,PAISSANDU,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE AO EDFICIO EMPRESARIAL ISACK NILTON AV GOVERNADOR  AGAMENON MAGALHAES NO CRUZAMENTO COM A RUA DOTOR RURAIS DE FORA,CHOQUE,MOTO CHOCOU-SE CONTRA A CALÇADA COM VITIMA,,1,,,,,,,,1,-8.0630605,-34.8977617
5,COM VÍTIMA,FINALIZADA,2016-01-01,07:26:00,CABANGA,AV SUL,,NO SEMAFORO Nº260,COLISÃO,COL.C/VSET.CD,1,1,,,,,,,,1,-8.0768693,-34.8949696
6,SEM VÍTIMA,FINALIZADA,2016-01-01,07:29:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,E/F  FARMÁCIA DO TRABALHADOR NO LADO DIREITO DA VIA. (NO SEMÁFORO Nº 216),COLISÃO,SEM VÍTIMAS,1,,,,,1,,,,0,-8.1111171,-34.8927465
7,SEM VÍTIMA,CANCELADA,2016-01-01,09:31:00,CAJUEIRO,RUA CORONEL URBANO RIBEIRO DE SENA,11,RUA   DA RADIO CAPIBARIBE,COLISÃO,COLISÃO SEM VITIMA,1,1,,,,,,,,0,-8.0150982,-34.8900557
8,SEM VÍTIMA,FINALIZADA,2016-01-01,07:41:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,NO SEMAFORO Nº534 E EM FRENTE DA EUROVIA RENAULT,COLISÃO,COL.S/V SET/AEROPORTO,2,,,,,,,,,0,-8.1134632,-34.912731
9,COM VÍTIMA,FINALIZADA,2016-01-01,08:35:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,SEMAFORO 142CRUZAMENTO DA CLINICAL CENTER,COLISÃO,COLISÃO COM VITIMAAQUARDANDO SAMU,,1,,,,,,1,,1,-8.1111171,-34.8927465
10,SEM VÍTIMA,FINALIZADA,2016-01-01,10:00:00,CASA AMARELA,AV DR EURICO CHAVES,603,EM FRENTE A IGREJA BATISTA DO MONTEIRO,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,-8.0236871,-34.9256509
11,SEM VÍTIMA,FINALIZADA,2016-01-01,10:31:00,AFOGADOS,RUA SAO MIGUEL,293,E/F A SÃO MIGUEL AUTO PEÇAS AO DO BANCO DO BRASIL. SENTIDO SUBÚRBIO ( SEMÁFORO Nº333),COLISÃO,SEM VÍTIMAS,2,,,,,,,,,0,-8.0804065,-34.9093194
12,SEM VÍTIMA,FINALIZADA,2016-01-01,15:30:00,TORRE,RUA ODETE MONTEIRO,,COM A RUA PROFESSOR ESTEVAO FRANCISCO DA COSTA PROX DA PADARIA RAINHA DA TORRE,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0,-8.0463331,-34.9202064
13,SEM VÍTIMA,FINALIZADA,2016-01-01,16:37:00,SAN MARTIN,AV GENERAL SAN MARTIN,,E/F DA CAVALARIA,COLISÃO,COLISAO DE MOTO E AUTO S/V,1,1,,,,,,,,0,-8.0683615,-34.9280654
14,SEM VÍTIMA,CANCELADA,2016-01-01,16:56:00,JORDÃO,RUA RIO XINGU,,NA ENTRADO DO JORDAO E/F DA BIG VALE,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0,-8.1198803,-34.9387852
15,COM VÍTIMA,FINALIZADA,2016-01-01,18:30:00,JAQUEIRA,AV RUI BARBOSA,,EM FRENTE AO PARQUE DA JAQUEIRA,COLISÃO,COLISÃO ENTRE QUATRO AUTO SEGUINTE DE UM CAPOTAMENTO DE UM DOS VEICULOS,4,,,,,,,,,1,-8.0386403,-34.9050081
16,SEM VÍTIMA,CANCELADA,2016-01-01,18:35:00,CASA FORTE,AV DEZESSETE DE AGOSTO,272,EM FRENTE AO RECANTO PARAIBANO,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.0349606,-34.9120042
17,COM VÍTIMA,FINALIZADA,2016-01-01,23:09:00,BEBERIBE,AV BEBERIBE,4510,NO POSTO DE SAUDE DE BEBERIBE,ATROPELAMENTO,VEICULO SOBE CALÇADA E PEGA PEDESTRE QUEBRANDO MURO DO POSTO,1,,,,1,,,6,,1,-8.0040052,-34.8967899
18,SEM VÍTIMA,CANCELADA,2016-01-02,00:12:00,DERBY,RUA GUILHERME PINTO,,PERTO DA ACADEMIA TRENO // CRUZAMENTO COM A RUA JOAQUIM NABUCO,CHOQUE,CONDUTOR PERDEU O CONTROLE DO VEÍCULO E SE CHOCOU CONTRA O MURO DO EDIFÍCIO,1,,,,,,,,,0,-8.0527852,-34.90226
19,VÍTIMA FATAL,FINALIZADA,2016-01-02,06:32:00,BOA VISTA,RUA DA AURORA,,CRUZAMENTO COM RUA PRINCESA IZABEL,COLISÃO,SEGUNDO INFORMAÇÕES DE POPULARES O CONDUTOR DA MOTOCICLETA AVANÇOU O SINAL VERMELHO E COLIDIU NO ÔNIBUS DA CRT.,,,1,,,1,,,,,-8.0565882,-34.8781384
20,SEM VÍTIMA,FINALIZADA,2016-01-02,09:08:00,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,,SEMAFORO 433 CRUZAMENTO COM A RUA CAPITÃO ZUZINHA,COLISÃO,COLISÃO  SEM VITIMASVT 13 DA CTTU NO LOCAL VAI FAZER O B.O,2,,,,,,,,,0,-8.1384247,-34.9043899
21,SEM VÍTIMA,FINALIZADA,2016-01-02,10:58:00,IMBIRIBEIRA,RUA SARGENTO SILVINO DE MACEDO,273,EMM FRENTE LACOX,COLISÃO,COL.S/VSET.CD,2,,,,,,,,,0,-8.1105886,-34.906336
22,COM VÍTIMA,FINALIZADA,2016-01-02,11:00:00,ARRUDA,RUA DO MACHADO,862,E/F AO BLOCO OS IRRESPONSAVEIS,COLISÃO,COM UMA VÍTIMA,1,1,,,,,,,,1,-8.0185838,-34.8881069
23,SEM VÍTIMA,FINALIZADA,2016-01-02,11:42:00,AREIAS,AV DR JOSE RUFINO,1243,EM FRENTE DO MERCADO ARCO IRIS,COLISÃO,COL.S/V SET.JABOATÃO,2,,,,,,,,,0,-8.0902923,-34.934394
24,SEM VÍTIMA,CANCELADA,2016-01-02,12:32:00,ENCRUZILHADA,RUA CARLOS BORROMEU,51,AO LADO DO MERCADO DA ENCRUZILHADA /,COLISÃO,DOIS AUTOS  / CRIANÇA DE COLO NO LOCAL,2,,,,,,,,,0,-8.0368657,-34.8926834
25,COM VÍTIMA,FINALIZADA,2016-01-02,12:52:00,CASA AMARELA,RUA VASCO DA GAMA,,E/F DO TREZE DO VASCO,COLISÃO,COLISAO DE MOTO E AUTO COM UMA VITIMA,1,1,,,,,,,,1,-8.0123513,-34.9201011
26,SEM VÍTIMA,FINALIZADA,2016-01-02,13:29:00,MADALENA,EST DOS REMEDIOS,,E/F  AO HOSP LESSA DE ANDRADE ANTES DO CRUZAMENTO COM A RUA BENFICA.,COLISÃO,01 AUTO 01 ONIBUS,1,,,,,1,,,,0,-8.0599259,-34.9073633
27,SEM VÍTIMA,FINALIZADA,2016-01-02,13:40:00,TEJIPIÓ,AV DR JOSE RUFINO,,EM FRENTE AO POSTO BR / SENT CIDADE,COLISÃO,DOIS AUTOS,2,,,,,,,,,0,-8.0904501,-34.9521701
28,SEM VÍTIMA,FINALIZADA,2016-01-02,13:48:00,BEBERIBE,AV BEBERIBE,,E/F DO COLEGIO PEDRO CELSO PROX DA PRAÇA,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0,-8.019391,-34.8942267
29,SEM VÍTIMA,FINALIZADA,2016-01-02,15:08:00,CASA AMARELA,RUA ALTO SANTA ISABEL,,PROX DO MERCADO DE CASA MARELA NA SUBIDA DO ALTO SANTA IZABEL,COLISÃO,COLISAO DE MOTO AUTO  S/V,1,1,,,,,,,,0,-8.1118194,-34.9610137
30,SEM VÍTIMA,FINALIZADA,2016-01-02,15:18:00,GUABIRABA,RUA CASSITERITA,,TERMINAL DA GUABIRABA,COLISÃO,01 AUTO 01 MIROONIBUS,1,,,,,1,,,,0,-7.9932259,-34.9359777
31,SEM VÍTIMA,FINALIZADA,2016-01-02,17:41:00,MACAXEIRA,AV DA RECUPERACAO,,DENTRO DA INTEGRAÇAO DA MACAXEIRA,COLISÃO,COLISAO DE ONIBUS E AUTO S/V,1,,,,,1,,,,0,-7.9880409,-34.9332224
32,SEM VÍTIMA,FINALIZADA,2016-01-02,18:21:00,MACAXEIRA,AV NORTE,,NO GIRADOURO PROX. A INTEGRAÇÃO SENTIDO CIDADE,COLISÃO,COLISÃO ENTRE AUTO E MOTO S/V,1,1,,,,,,,,0,-8.0159377,-34.9303999
33,SEM VÍTIMA,CANCELADA,2016-01-02,20:28:00,IPUTINGA,RUA SAO MATEUS,225,APOS A PADARIA MASSA PURA SENTIDO CAXANGA,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V UM DOS CONDUTORES APRESENTA SINAIS DE EMBREAGUES,2,,,,,,,,,0,-8.0395998,-34.9363578
34,SEM VÍTIMA,FINALIZADA,2016-01-03,00:15:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,EM FRENTE AO RESTAURANTE PONTEIO // BAR SÓ CALDINHO,COLISÃO,COLISÃO ENTRE UM ÔNIBUS E UM AUTO-PASSEIO SEM VÍTIMAS,1,,,,,1,,,,0,-8.1111171,-34.8927465
35,COM VÍTIMA,FINALIZADA,2016-01-03,00:49:00,JARDIM SÃO PAULO,AV SAO PAULO,,PRÓX AO SUPERMERCADO VENDE MAIS,COLISÃO,COLISÃO ENTRE UM AUTO E UMA MOTO,1,1,,,,,,,,1,-8.0814047,-34.9400233
36,VÍTIMA FATAL,FINALIZADA,2016-01-03,03:41:00,IMBIRIBEIRA,RUA ARQUITETO LUIZ NUNES,,POR TRAZ DO SUPERMERCADO ASSAI,COLISÃO,AUTO E MOTO,1,1,,,,,,,,,-8.0927682,-34.9110955
37,SEM VÍTIMA,FINALIZADA,2016-01-03,07:10:00,MADALENA,AV VISCONDE DE ALBUQUERQUE,185,TRAVESSA COM ARNALDO BASTOSAPÓS O BANCO ITAU,COLISÃO,COLISÃO SEM VITIMAS,1,1,,,,,,,,0,-8.0563246,-34.9071047
38,SEM VÍTIMA,FINALIZADA,2016-01-03,09:40:00,ARRUDA,AV BEBERIBE,,SEMAFORO 131,COLISÃO,COLISÃO SEM VITÍMA,1,,,,,1,,,,0,-8.0262857,-34.8932578
39,COM VÍTIMA,FINALIZADA,2016-01-03,10:51:00,SÍTIO DOS PINTOS,RUA DO SITIO SAO BRAZ,590,uma rua após o campo de futebol do sitio dos pintos,CAPOTAMENTO,atropelamento seguido de capotamento com vitima,1,,,,,,,,,1,-8.0165736,-34.9597266
40,SEM VÍTIMA,CANCELADA,2016-01-03,10:44:00,VÁRZEA,RUA AGRICOLANDIA,470,NA CALÇDA DA PADARIA DELICATESSE CIDADE UNIVERSITARIA,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0,-8.0424865,-34.9470003
41,SEM VÍTIMA,FINALIZADA,2016-01-03,11:02:00,AFLITOS,AV CONS ROSA E SILVA,1376,E/F  AO EDIFICIO  MIRNA SEMAFORO 047,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,1,,,,0,-8.0395662,-34.8992366
42,COM VÍTIMA,FINALIZADA,2016-01-03,11:42:00,SANTO AMARO,RUA CAPITAO LIMA,,PROXÍMO AO JORNAL DO COMMERCIO,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,-8.053663,-34.8787208
43,SEM VÍTIMA,FINALIZADA,2016-01-03,12:21:00,JARDIM SÃO PAULO,RUA JUNDIAI,321,EM FRENTE AO DEPOSITO DE CHARQUE,COLISÃO,DOIS AUTO,2,,,,,,,,,0,-8.0793524,-34.9461712
44,SEM VÍTIMA,FINALIZADA,2016-01-03,12:31:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE A TUPAM SENTIDO AV.SUL,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.1134632,-34.912731
45,SEM VÍTIMA,CANCELADA,2016-01-03,13:43:00,IPSEP,AV RECIFE,,EM FRENTE AO MARTELINHO DE OURO SEMAFORO 247,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.1116174,-34.9264765
46,SEM VÍTIMA,FINALIZADA,2016-01-03,13:55:00,VÁRZEA,AV CAXANGA,,EM FRENTE AO TERMINAL DE ONIBUS DA CAXANGÁ,COLISÃO,COLISÃO S VITIMA OYY9726 ONIBUS / MOTO KJK5133,1,1,,,,,,,,0,-8.0345856,-34.9498768
47,COM VÍTIMA,FINALIZADA,2016-01-03,14:38:00,ESPINHEIRO,AV JOAO DE BARROS,1545,EM FRENTE A FARMACIA PAGUE MENOS E A ESCOLA SABER VIVER,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,-8.0410874,-34.8916841
48,COM VÍTIMA,CANCELADA,2016-01-03,15:42:00,ILHA DO RETIRO,AV BEIRA RIO,302,POR TRAS DO CLUBE DO SPORT,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,-8.0644379,-34.9015121
49,SEM VÍTIMA,FINALIZADA,2016-01-03,16:14:00,CASA AMARELA,RUA ALTO 13 DE MAIO,505,EM FRENTE AO TERMINAL DE ONIBUS DO ALTO 13 DE MAIO,COLISÃO,AUTO E ONIBUS,1,,,,,1,,,,0,-8.0092644,-34.9224809
50,SEM VÍTIMA,EM ATENDIMENTO,2016-01-03,16:48:00,VÁRZEA,RUA DIAS D'AVILA,429,E/F AO MOTEL COSTA AZUL,COLISÃO,02 AUTOS,2,,,,,,,,,0,-8.0329527,-34.9607446
51,SEM VÍTIMA,EM ATENDIMENTO,2016-01-03,17:11:00,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,,NO CRUZAMENTO COM A BARÃO DE SOUZA SEMAFORO 129,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.1384247,-34.9043899
52,SEM VÍTIMA,CANCELADA,2016-01-03,18:26:00,BOA VIAGEM,AV BOA VIAGEM,848,EM STUDIO PORTAL DE BOA VIAGEM EM FRENTE A QUADRA DE TENIS PROX. A ACARDES,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.0990532,-34.8843417
53,SEM VÍTIMA,CANCELADA,2016-01-03,19:30:00,TORRE,AV VISCONDE DE ALBUQUERQUE,,EM FRENTE AO ATACDO DOS PRESENTES SENTIDO PARNAMIRIM,COLISÃO,COLISÃO ENTRE DOIS AUTO S/V,1,1,,,,,,,,0,-8.0535603,-34.9067618
54,SEM VÍTIMA,FINALIZADA,2016-01-03,22:10:00,AFOGADOS,RUA NICOLAU PEREIRA,,NA ESQUINA DA FABRICA DA LIMONDA NO CRUZAMENTO DA RUA DA PAZ,COLISÃO,ONIBUS DE TURISMO E AUTO,1,,,,,1,,,,0,-8.0781079,-34.9055766
55,SEM VÍTIMA,FINALIZADA,2016-01-03,23:21:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,CIDADE SENTIDO AEROPORTO PROX AO AEROPORTO APOS O VIADUTO TANCREDO NEVES,COLISÃO,COLISAO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.1134632,-34.912731
56,SEM VÍTIMA,FINALIZADA,2016-01-04,08:19:00,BOA VIAGEM,RUA PADRE CARAPUCEIRO,706,NA ESQUINA DO SEMAFORO 321,COLISÃO,COLISÃO SEM VITIMAS,,,,,,,,,,0,-8.1171086,-34.9018391
57,SEM VÍTIMA,FINALIZADA,2016-01-04,08:37:00,PINA,RUA JOSE MARIANO FILHO,87,REPARAÇÃO E LOCADORA DE VEICULOS FOXEM FRENTE,COLISÃO,COLISÃO SEM VITIMAS,1,,,,,1,,,,0,-8.0855996,-34.885448
58,SEM VÍTIMA,FINALIZADA,2016-01-04,09:22:00,AREIAS,AV DR JOSE RUFINO,757,EM FRENTE A SOCORRO DOCESSENT/AFOGADOS,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0,-8.0872557,-34.931402
59,SEM VÍTIMA,FINALIZADA,2016-01-04,09:58:00,SANTO AMARO,RUA TREZE DE MAIO,,E/F AO BOX & BOX AO LADO DA MAURICIO DE NASSAU,COLISÃO,SEM VÍTIMAS,2,,,,,,,,,0,-8.0500309,-34.8820456
60,SEM VÍTIMA,FINALIZADA,2016-01-04,11:05:00,IMBIRIBEIRA,RUA IZABEL DE SOUZA,178,POR  TRÁS DA CASA DO MARCENEIRO DA MASCARENHAS DE MORAES,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0,-8.1069045,-34.9124586
61,SEM VÍTIMA,FINALIZADA,2016-01-04,11:55:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,EM FRENTE A INFRAERO / SENT JORDÃO,COLISÃO,CAMINHÃO BAU E AUTO,1,,,,,,1,,,0,-8.1134632,-34.912731
62,SEM VÍTIMA,CANCELADA,2016-01-04,12:10:00,BOA VIAGEM,RUA FELIX DE BRITO E MELO,728,EM FRENTE AO EDIFICIO VILA D´OURO,COLISÃO,COLISÃO SEM VÍTIMA,1,1,,,,,,,,0,-8.1161205,-34.8988133
63,COM VÍTIMA,FINALIZADA,2016-01-04,12:33:00,TORRE,RUA PADRE LANDIM,,EM FRENTE AO COLÉGIO CRISTO REI,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,-8.0472178,-34.9123457
64,SEM VÍTIMA,FINALIZADA,2016-01-04,13:12:00,CAMPO GRANDE,RUA MARQUES DE BAIPENDI,,EM FRENTE AO MERCADINHO DOIS É BOM,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,-8.0266174,-34.8848857
65,SEM VÍTIMA,FINALIZADA,2016-01-04,13:30:00,PARNAMIRIM,AV PARNAMIRIM,,SEMAFORO 010,COLISÃO,COLISÃO DOIS AUTOS,2,,,,,,,,,0,-8.0339784,-34.9092795
66,SEM VÍTIMA,FINALIZADA,2016-01-04,13:32:00,BAIRRO DO RECIFE,AV ALFREDO LISBOA,,EM FRENTE AO MINISTERIO DA FAZENDA,COLISÃO,COLISÃO SEM VÍTIMA,1,,,,,,1,,,0,-8.0614931,-34.8706715
67,SEM VÍTIMA,FINALIZADA,2016-01-04,13:59:00,CASA FORTE,AV DEZESSETE DE AGOSTO,855,E/F A BIG BEM E A MC DONALDS SEMAFORO 346 CRUZ COIM A RUA LEONARDO CAVALCANTI.,COLISÃO,02 AUTOS,2,,,,,,,,,0,-8.0378742,-34.9166007
68,SEM VÍTIMA,FINALIZADA,2016-01-04,14:33:00,MADALENA,AV VISCONDE DE ALBUQUERQUE,,PROX DO LESSA DE ANDRADE E/F DO POSTO EXTRA,COLISÃO,COLISAO DE ONIBUS E AUTO S/V,1,,,,,,1,,,0,-8.0535603,-34.9067618
69,SEM VÍTIMA,FINALIZADA,2016-01-04,14:55:00,AFOGADOS,RUA COSME VIANA,,NO SEMAFORO 334,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0,-8.0710914,-34.9094767
70,SEM VÍTIMA,FINALIZADA,2016-01-04,14:57:00,CAJUEIRO,AV SEBASTIAO SALAZAR,125,E/F AO BAR DA FAVA,COLISÃO,02 AUTOS,2,,,,,,,,,0,-8.0104341,-34.888075
71,SEM VÍTIMA,CANCELADA,2016-01-04,15:01:00,CAJUEIRO,AV SEBASTIAO SALAZAR,,EM FRENTE AO RESTAURANTE PIONEIRO DA FAVA,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,-8.0107523,-34.8845043
72,SEM VÍTIMA,FINALIZADA,2016-01-04,15:17:00,SANTO AMARO,RUA DO POMBAL,,PROXÍMO AO COMANDO DA GUARDA,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,-8.0493209,-34.8826261
73,COM VÍTIMA,FINALIZADA,2016-01-04,15:34:00,JORDÃO,AV MARIA IRENE,1225,PROXÍMO AO JORDÃO MOTO PEÇAS,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,-8.141103,-34.933518
74,SEM VÍTIMA,FINALIZADA,2016-01-04,15:51:00,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,E/F DO ESTACIONAMENTO DA PADARIA DIPLOMATA,COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0,-8.1109937,-34.8914817
75,SEM VÍTIMA,FINALIZADA,2016-01-04,15:51:00,CABANGA,AV ENGENHEIRO JOSE ESTELITA,660,SENTIDO AGAMENON CABAGA HIATE CLUB,COLISÃO,2 AUTOS,1,,,,,,1,,,0,-8.0792327,-34.891949
76,COM VÍTIMA,FINALIZADA,2016-01-04,16:05:00,JORDÃO,RUA DR ALVARO FERRAZ,,TERMINAL DO ÔNIBUS DE JORDÃO BAIXO,COLISÃO,2 AUTOS,2,,,,,,,,,1,-8.1335763,-34.937211
77,SEM VÍTIMA,FINALIZADA,2016-01-04,16:12:00,BEBERIBE,AV BEBERIBE,,E/F DO SEST SENT,COLISÃO,COLISAO DE CAMINHAO E AUTO S/V,1,,,,,,1,,,0,-8.019391,-34.8942267
78,SEM VÍTIMA,CANCELADA,2016-01-04,16:14:00,BOA VIAGEM,AV CONSELHEIRO AGUIAR,4264,EM FRETE A GALLETOS,COLISÃO,COLISÃO SEM VÍTIMA,1,,,,,1,,,,0,-8.1245604,-34.8991826
79,SEM VÍTIMA,FINALIZADA,2016-01-04,16:16:00,CAMPO GRANDE,RUA ODORICO MENDES,379,EM FRENTE A LEO GELO,ENGAVETAMENTO,,3,,,,,,,,,0,-8.0354897,-34.880428
80,COM VÍTIMA,FINALIZADA,2016-01-04,16:43:00,BAIRRO DO RECIFE,AV ALFREDO LISBOA,,EM FRENTE A PRAÇA DO MARCO ZERO,COLISÃO,COLISÃO ENTRE AUTO E MOTO COM VITIMA,1,1,,,,,,,,1,-8.0614931,-34.8706715
81,COM VÍTIMA,FINALIZADA,2016-01-04,17:08:00,CASA FORTE,AV DEZESSETE DE AGOSTO,,ESQ COM A RUA  ENG OSCAR FERREIRA / SEMAFORO 646,COLISÃO,MOTO E AUTO,1,1,,,,,,,,1,-8.0343998,-34.9212091
82,SEM VÍTIMA,FINALIZADA,2016-01-04,17:27:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,PROXÍMO A IMBIRIBEIRA DIESEL / SENTIDO CIDADE,COLISÃO,COLISÃO SEM VÍTIMA,1,,,,,1,,,,0,-8.1134632,-34.912731
83,COM VÍTIMA,FINALIZADA,2016-01-04,17:50:00,SANTO AMARO,RUA TREZE DE MAIO,970,FÁCIL PNEU BORRACHARIA,ATROPELAMENTO,VEÍCULO SIENA ATROPELOU UMA SENHORA E UMA CRIANÇA,1,,,,,,,,,2,-8.0468067,-34.8795223
84,SEM VÍTIMA,CANCELADA,2016-01-04,18:09:00,BONGI,RUA DR SEVERINO JATOBA,1230,EM FRENTE AO BAR DO LUIZ E APOS A PADARIA SANTA JOANA,COLISÃO,AUTO E MOTO,1,1,,,,,,,,0,-8.0652398,-34.9186475
85,SEM VÍTIMA,FINALIZADA,2016-01-04,19:02:00,SAN MARTIN,RUA VISCONDE PARNAIBA,135,NA RUA DO BAR DO PAULO E A CHESF,COLISÃO,AUTO E MOTO,1,1,,,,,,,,0,-8.0659722,-34.9294411
86,SEM VÍTIMA,FINALIZADA,2016-01-04,19:15:00,CIDADE UNIVERSITÁRIA,RUA ODON RODRIGUES DE MORAIS REGO,,DENTRO DA UNIVERSIDADE FEDERAL,COLISÃO,COLISÃO ENTRE DOIS AUTO E UMA MOTO S/V,2,1,,,,,,,,0,-8.0419948,-34.9453072
87,SEM VÍTIMA,FINALIZADA,2016-01-04,20:03:00,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,NA SAIDA DO EMBARQUE NA DESCIDA DO VIA DUTO NO AEROPORTO,COLISÃO,COLISAO ENTRE DOIS AUTO S/V,2,,,,,,,,,0,-8.1134632,-34.912731
88,SEM VÍTIMA,FINALIZADA,2016-01-04,20:41:00,PINA,AV ENGENHEIRO DOMINGOS FERREIRA,,APOS A GREJA DO PINA SENTIDO BOA VIAGEM,COLISÃO,COLISÃO ENTRE ONIBUS DA BORBOREMA E AUTO S/V,1,,,,,1,,,,0,-8.0973885,-34.8863703
89,SEM VÍTIMA,FINALIZADA,2016-01-05,06:16:00,TAMARINEIRA,RUA CONEGO BARATA,,AO LADO DA FERREIRA COSTA / SENTIDO AFOGADOS,COLISÃO,COLISÃO SEM VÍTIMA,1,,,,,1,,,,0,-8.0314126,-34.9020838
90,SEM VÍTIMA,CANCELADA,2016-01-05,07:22:00,IMBIRIBEIRA,RUA JOSE DA SILVA LUCENA,273,EM FRENTE A EMPRESA LATOMEX,COLISÃO,COLISÃO SEM VÍTMA,1,1,,,,,,,,0,-8.1147683,-34.9074774
91,SEM VÍTIMA,FINALIZADA,2016-01-05,08:07:00,ENCRUZILHADA,AV NORTE,,EM FRENTE AO EXTRABOMSEMAFORO 045SENT/CENTRO,COLISÃO,COLISÃO SEM VITIMAS,2,,,,,,,,,0,-8.0373857,-34.8936992
92,SEM VÍTIMA,FINALIZADA,2016-01-05,09:34:00,TORREÃO,AV GOVERNADOR AGAMENON MAGALHAES,,EM FRENTE SECRETARIA DE DEFESA SOCIAL/ SENTIDO RECIFE,COLISÃO,COLISÃO SEM VÍTIMA,,,,,,,,,,0,-8.0412128,-34.8832667
93,SEM VÍTIMA,FINALIZADA,2016-01-05,09:51:00,TORRE,RUA JOAO DE DEUS,,RUA EM FRENTE AO RESTAURANTE BOI NO BAFO / SENTIDO AFOGADOS,COLISÃO,COLISÃO SEM VÍTIMA,3,,,,,,,,,0,-8.0471307,-34.9107111
94,SEM VÍTIMA,FINALIZADA,2016-01-05,10:44:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,AO LADO DO BROMPREÇO NO SEMAFORO 303 / SENTIDO BOA VIAGEM,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0,-8.1111171,-34.8927465
