id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,latitude,longitude
1459,SEM VÍTIMA,FINALIZADA,2016-04-17,06:00:00,CORDEIRO,AV INACIO MONTEIRO,227,ENTRE A RUA DES VIRGÍLIO DE SÁ PEREIRA E RUA AUREA XAVIER PROX À EXPOSIÇÃO DO CORDEIRO,QUEDA DE ÁRVORE,ARVORE CAIDA BLOQUEANDO A VIA,,,,,,,,,,0,-8.0474582,-34.9308243
1460,SEM VÍTIMA,FINALIZADA,2016-04-17,06:55:00,GRAÇAS,RUA ALBERTO PAIVA,,EM FRENTE AO ANTIGO BUGALOO,COLISÃO,COL.S/V.SET TORRE,1,,,,,,,1,,0,-8.0438897,-34.9008902
1461,SEM VÍTIMA,FINALIZADA,2016-04-17,09:31:00,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,CRUZ  COM A JOSE MARIA  DE MIRANDA PROX AO POSTO DE GASOLINA BR,COLISÃO,COLISÃO  SEM VITIMAS,1,,,,,1,,,,0,-8.1111171,-34.8927465
1462,SEM VÍTIMA,FINALIZADA,2016-04-17,09:55:00,CAXANGÁ,RUA RIBEIRO PESSOA,324,E/F AO CONDOMÍNIO FICCOS LADO DIREITO. SENTIDO DOIS IRMÃO,COLISÃO,SEM VÍTIMAS,1,,,,,1,,,,0,-8.0273677,-34.956953
1463,SEM VÍTIMA,CANCELADA,2016-04-17,12:03:00,CAMPO GRANDE,RUA FARIAS NEVES,,E/F AO COLÉGIO JANDIRA BOTELHO NO LADO ESQUERDO. SENTIDO CHÃ DE ESTRELA,COLISÃO,SEM VÍTIMAS.,2,,,,,,,,,0,-8.0266038,-34.8778051
1464,SEM VÍTIMA,FINALIZADA,2016-04-17,12:51:00,BOA VISTA,AV MONTEVIDEU,276,UMA RUA POR TRAS DO BOMPREÇO,COLISÃO,DOIS AUTOS,2,,,,,,,,,0,-8.0496217,-34.892855
1465,COM VÍTIMA,FINALIZADA,2016-04-17,14:02:00,ENCRUZILHADA,AV BEBERIBE,,SENTIDO CIDADE SUBURBIO NO TRECHO ENTRE O CAMPO DO ARRUDA E A ENCRUZILHADA,COLISÃO,,1,1,,,,,,,,1,-8.0312489,-34.89224
1466,SEM VÍTIMA,FINALIZADA,2016-04-17,14:08:00,SANTO AMARO,AV CRUZ CABUGA,,PISO E03 - SHOPPING TACARUNA,COLISÃO,02 AUTOS,2,,,,,,,,,0,-8.0458417,-34.8757468
1467,COM VÍTIMA,FINALIZADA,2016-04-17,14:39:00,BOA VIAGEM,RUA DR PEDRO DE MELLO CAHU,,C/ JOSÉ BRANDÃO,COLISÃO,,1,,1,,,,,,,1,-8.1112354,-34.8958989
1468,SEM VÍTIMA,FINALIZADA,2016-04-17,14:55:00,CAXANGÁ,AV CAXANGA,,SEM 230,COLISÃO,,2,,,,,,,,,0,-8.0369093,-34.945404
